,geo_id,geo_code,name,abbreviation,type_id
451,707,postal-40180,ชนบท,40180,6
452,708,postal-40280,เขาสวนกวาง,40280,6
453,709,postal-40350,ภูผาม่าน,40350,6
454,710,postal-40170,ซำสูง,40170,6
455,711,postal-40160,โคกโพธิ์ไชย,40160,6
456,712,postal-40150,หนองนาคำ,40150,6
457,713,postal-40110,บ้านแฮด,40110,6
458,714,postal-40110,โนนศิลา,40110,6
459,715,postal-40150,เวียงเก่า,40150,6
460,716,postal-41000,เมืองอุดรธานี,41000,6
461,717,postal-41330,เมืองอุดรธานี,41330,6
462,718,postal-41250,กุดจับ,41250,6
463,719,postal-41360,หนองวัวซอ,41360,6
464,720,postal-41220,หนองวัวซอ,41220,6
465,721,postal-41110,กุมภวาปี,41110,6
466,722,postal-41370,กุมภวาปี,41370,6
467,723,postal-41240,โนนสะอาด,41240,6
468,724,postal-41130,หนองหาน,41130,6
469,725,postal-41320,หนองหาน,41320,6
470,726,postal-41310,ทุ่งฝน,41310,6
471,727,postal-41290,ไชยวาน,41290,6
472,728,postal-41230,ศรีธาตุ,41230,6
473,729,postal-41280,วังสามหมอ,41280,6
474,730,postal-41190,บ้านดุง,41190,6
475,731,postal-41160,บ้านผือ,41160,6
476,732,postal-41210,น้ำโสม,41210,6
477,733,postal-41150,เพ็ญ,41150,6
478,734,postal-41260,สร้างคอม,41260,6
479,735,postal-41340,หนองแสง,41340,6
480,736,postal-41380,นายูง,41380,6
481,737,postal-41130,พิบูลย์รักษ์,41130,6
482,738,postal-41130,กู่แก้ว,41130,6
483,739,postal-41110,ประจักษ์ศิลปาคม,41110,6
484,740,postal-42000,เมืองเลย,42000,6
485,741,postal-42100,เมืองเลย,42100,6
486,742,postal-42210,นาด้วง,42210,6
487,743,postal-42110,เชียงคาน,42110,6
488,744,postal-42150,ปากชม,42150,6
489,745,postal-42120,ด่านซ้าย,42120,6
490,746,postal-42170,นาแห้ว,42170,6
491,747,postal-42160,ภูเรือ,42160,6
492,748,postal-42140,ท่าลี่,42140,6
493,749,postal-42130,วังสะพุง,42130,6
494,750,postal-42180,ภูกระดึง,42180,6
495,751,postal-42230,ภูหลวง,42230,6
496,752,postal-42240,ผาขาว,42240,6
497,753,postal-42220,เอราวัณ,42220,6
498,754,postal-42190,หนองหิน,42190,6
499,755,postal-43000,เมืองหนองคาย,43000,6
500,756,postal-43100,เมืองหนองคาย,43100,6
501,757,postal-43110,ท่าบ่อ,43110,6
502,758,postal-43120,โพนพิสัย,43120,6
503,759,postal-43130,ศรีเชียงใหม่,43130,6
504,760,postal-43160,สังคม,43160,6
505,761,postal-43100,สระใคร,43100,6
506,762,postal-43120,เฝ้าไร่,43120,6
507,763,postal-43120,รัตนวาปี,43120,6
508,764,postal-43130,โพธิ์ตาก,43130,6
509,765,postal-44000,เมืองมหาสารคาม,44000,6
510,766,postal-44190,แกดำ,44190,6
511,767,postal-44140,โกสุมพิสัย,44140,6
512,768,postal-44150,กันทรวิชัย,44150,6
513,769,postal-44160,เชียงยืน,44160,6
514,770,postal-44130,บรบือ,44130,6
515,771,postal-44170,นาเชือก,44170,6
516,772,postal-44110,พยัคฆภูมิพิสัย,44110,6
517,773,postal-44120,วาปีปทุม,44120,6
518,774,postal-44180,นาดูน,44180,6
519,775,postal-44210,ยางสีสุราช,44210,6
520,776,postal-44130,กุดรัง,44130,6
521,777,postal-44160,ชื่นชม,44160,6
522,778,postal-45000,เมืองร้อยเอ็ด,45000,6
523,779,postal-45150,เกษตรวิสัย,45150,6
524,780,postal-45190,ปทุมรัตต์,45190,6
525,781,postal-45180,จตุรพักตรพิมาน,45180,6
526,782,postal-45170,ธวัชบุรี,45170,6
527,783,postal-45140,พนมไพร,45140,6
528,784,postal-45110,โพนทอง,45110,6
