ทำเนียบท้องที่,Unnamed: 1,Unnamed: 2,Unnamed: 3
รหัสจังหวัด 2 หลัก // อำเภอ 2 หลัก // ตำบล 2 หลัก,,,
ข้อมูล ณ วันที่ 1 กันยายน 2566,,,
,,,
รหัสจังหวัด 2 หลัก//อำเภอ 4 หลัก//ตำบล 6 หลัก,จังหวัด/อำเภอ/ตำบล ภาษาไทย,จังหวัด/อำเภอ/ตำบล ภาษาอังกฤษ,ปีเดือนวันที่จำหน่าย
13040200,บึงบอน,Bueng Bon,0
13040300,บึงกาสาม,Bueng Ka Sam,0
13040400,บึงชำอ้อ,Bueng Cham-o,0
13040500,หนองสามวัง,Nong Sam Wang,0
13040600,ศาลาครุ,Sala Khru,0
13040700,นพรัตน์,Noppharat,0
13050000,ลาดหลุมแก้ว,Lat Lum Kaeo,0
13050100,ระแหง,Rahaeng,0
13050200,ลาดหลุมแก้ว,Lat Lum Kaeo,0
13050300,คูบางหลวง,Khu Bang Luang,0
13050400,คูขวาง,Khu Khwang,0
13050500,คลองพระอุดม,Khlong Phra Udom,0
13050600,บ่อเงิน,Bo Ngoen,0
13050700,หน้าไม้,Na Mai,0
13060000,ลำลูกกา,Lam Luk Ka,0
13060100,คูคต,Khu Khot,0
13060200,ลาดสวาย,Lat Sawai,0
13060300,บึงคำพร้อย,Bueng Kham Phroi,0
13060400,ลำลูกกา,Lam Luk Ka,0
13060500,บึงทองหลาง,Bueng Thonglang,0
13060600,ลำไทร,Lam Sai,0
13060700,บึงคอไห,Bueng Kho Hai,0
13060800,พืชอุดม,Phuet Udom,0
13070000,สามโคก,Sam Khok,0
13070100,บางเตย,Bang Toei,0
13070200,คลองควาย,Khlong Khwai,0
13070300,สามโคก,Sam Khok,0
13070400,กระแชง,Krachaeng,0
13070500,บางโพธิ์เหนือ,Bang Pho Nuea,0
13070600,เชียงรากใหญ่,Chiang Rak Yai,0
13070700,บ้านปทุม,Ban Pathum,0
13070800,บ้านงิ้ว,Ban Ngio,0
13070900,เชียงรากน้อย,Chiang Rak Noi,0
