รหัสสำนักทะเบียน/อำเภอ,จังหวัด/สำนักทะเบียน/อำเภอ ภาษาไทย,จังหวัด/สำนักทะเบียน/อำเภอ ภาษาอังกฤษ,ปีเดือนวันที่จำหน่าย
1589,ท้องถิ่นเทศบาลตำบลศาลาแดง,Sala Daeng Sub-district Municipality,25550101
1590,ท้องถิ่นเทศบาลตำบลสามโก้,Samko Sub-district Municipality,0
1591,ท้องถิ่นเทศบาลตำบลวิเศษไชยชาญ,Wiset Chai Chan Sub-district Municipality,0
1592,ท้องถิ่นเทศบาลตำบลบางจัก,Bang Chak Sub-district Municipality,0
1593,ท้องถิ่นเทศบาลตำบลแสวงหา,Sawaeng Ha Sub-district Municipality,0
1594,ท้องถิ่นเทศบาลตำบลรำมะสัก,Ram Ma Sak Sub-district Municipality,0
1595,ท้องถิ่นเทศบาลตำบลโพธิ์ทอง,Pho Thong Sub-district Municipality,0
1596,ท้องถิ่นเทศบาลตำบลไชโย,Chaiyo Sub-district Municipality,0
1597,ท้องถิ่นเทศบาลตำบลเกษไชโย,Ket Chaiyo Sub-district Municipality,0
1598,ท้องถิ่นเทศบาลตำบลป่าโมก,Pa Mok Sub-district Municipality,0
1599,ท้องถิ่นเทศบาลเมืองอ่างทอง,Ang Thong Town Municipality,0
1600,จังหวัดลพบุรี,Lop Buri Province,0
1601,อำเภอเมืองลพบุรี,Mueang Lop Buri District,0
1602,อำเภอพัฒนานิคม,Phatthana Nikhom District,0
1603,อำเภอโคกสำโรง,Khok Samrong District,0
1604,อำเภอชัยบาดาล,Chai Badan District,0
1605,อำเภอท่าวุ้ง,Tha Wung District,0
1606,อำเภอบ้านหมี่,Ban Mi District,0
1607,อำเภอท่าหลวง,Tha Luang District,0
1608,อำเภอสระโบสถ์,Sa Bot District,0
1609,อำเภอโคกเจริญ,Khok Charoen District,0
1610,อำเภอลำสนธิ,Lam Sonthi District,0
1611,อำเภอหนองม่วง,Nong Muang District,0
1681,ท้องถิ่นเทศบาลตำบลกกโก,Kok Ko Sub-district Municipality,0
1682,ท้องถิ่นเทศบาลตำบลถนนใหญ่,Thanon Yai Sub-district Municipality,0
1683,ท้องถิ่นเทศบาลเมืองเขาสามยอด,Khao Sam Yot Town Municipality,0
1684,ท้องถิ่นเทศบาลตำบลท่าศาลา,Tha Sala Sub-district Municipality,0
1685,ท้องถิ่นเทศบาลตำบลดีลัง,Di Lang Sub-district Municipality,0
1686,ท้องถิ่นเทศบาลตำบลเขาพระงาม,Khao Phra Ngam Sub-district Municipality,0
1687,ท้องถิ่นเทศบาลตำบลหนองม่วง,Nong Muang Sub-district Municipality,25550101
1688,ท้องถิ่นเทศบาลตำบลสระโบสถ์,Sa Bot Sub-district Municipality,0
1689,ท้องถิ่นเทศบาลตำบลบ้านท่าหลวง,Ban Tha Luang Sub-district Municipality,0
1690,ท้องถิ่นเทศบาลตำบลท่าวุ้ง,Tha Wung Sub-district Municipality,0
1691,ท้องถิ่นเทศบาลตำบลท่าโขลง,Tha Khlong Sub-district Municipality,0
1692,ท้องถิ่นเทศบาลตำบลลำนารายณ์,Lam Narai Sub-district Municipality,0
1693,ท้องถิ่นเทศบาลตำบลหนองม่วง,Nong Muang Sub-district Municipality,0
1694,ท้องถิ่นเทศบาลตำบลพัฒนานิคม,Phatthana Nikhom Sub-district Municipality,0
1695,ท้องถิ่นเทศบาลตำบลแก่งเสือเต้น,Kaeng Suea Ten Sub-district Municipality,0
1696,ท้องถิ่นเทศบาลตำบลโคกตูม,Khok Tum Sub-district Municipality,0
1697,ท้องถิ่นเทศบาลตำบลโคกสำโรง,Khok Samrong Sub-district Municipality,0
1698,ท้องถิ่นเทศบาลเมืองบ้านหมี่,Ban Mi Town Municipality,0
1699,ท้องถิ่นเทศบาลเมืองลพบุรี,Lop Buri Town Municipality,0
1700,จังหวัดสิงห์บุรี,Sing Buri Province,0
1701,อำเภอเมืองสิงห์บุรี,Mueang Sing Buri District,0
1702,อำเภอบางระจัน,Bang Rachan District,0
1703,อำเภอค่ายบางระจัน,Khai Bang Rachan District,0
1704,อำเภอพรหมบุรี,Phrom Buri District,0
1705,อำเภอท่าช้าง,Tha Chang District,0
1706,อำเภออินทร์บุรี,In Buri District,0
1793,ท้องถิ่นเทศบาลตำบลอินทร์บุรี,In Buri Sub-district Municipality,0
1794,ท้องถิ่นเทศบาลตำบลถอนสมอ,Thonsamo Sub-district Municipality,0
1795,ท้องถิ่นเทศบาลตำบลพรหมบุรี,Phrom Buri Sub-district Municipality,0
1796,ท้องถิ่นเทศบาลตำบลบางน้ำเชี่ยว,Bang Nam Chiao Sub-district Municipality,0
1797,ท้องถิ่นเทศบาลตำบลโพสังโฆ,Pho Sang Kho Sub-district Municipality,0
1798,ท้องถิ่นเทศบาลเมืองบางระจัน,Bang Rachan Town Municipality,0
1799,ท้องถิ่นเทศบาลเมืองสิงห์บุรี,Sing Buri Town Municipality,0
1800,จังหวัดชัยนาท,Chai Nat Province,0
1801,อำเภอเมืองชัยนาท,Mueang Chai Nat District,0
1802,อำเภอมโนรมย์,Manorom District,0
1803,อำเภอวัดสิงห์,Wat Sing District,0
1804,อำเภอสรรพยา,Sapphaya District,0
1805,อำเภอสรรคบุรี,Sankhaburi District,0
1806,อำเภอหันคา,Hankha District,0
1807,อำเภอหนองมะโมง,Nong Mamong District,0
1808,อำเภอเนินขาม,Noen Kham District,0
1809,กิ่งอำเภอศรีหนองแซง,Sri Nong Saeng Minor District,25550101
1880,ท้องถิ่นเทศบาลตำบลบางหลวง,Bang Luang Sub-district Municipality,0
1881,ท้องถิ่นเทศบาลตำบลนางลือ,Nang Lue Sub-district Municipality,0
1882,ท้องถิ่นเทศบาลตำบลเสือโฮก,Suea Hok Sub-district Municipality,0
1883,ท้องถิ่นเทศบาลตำบลหาดท่าเสา,Hat Tha Sao Sub-district Municipality,0
1884,ท้องถิ่นเทศบาลตำบลชัยนาท,Chai Nat Sub-district Municipality,0
1885,ท้องถิ่นเทศบาลตำบลบ้านกล้วย,Ban Kluai Sub-district Municipality,0
1886,ท้องถิ่นเทศบาลตำบลสรรคบุรี,Sankhaburi Sub-district Municipality,25550101
1887,ท้องถิ่นเทศบาลตำบลหนองแซง,Nongsaeng Sub-district Municipality,0
1888,ท้องถิ่นเทศบาลตำบลดงคอน,Dong Khon Sub-district Municipality,25550101
1889,ท้องถิ่นเทศบาลตำบลวังตะเคียน,Wang Takhian Sub-district Municipality,0
1890,ท้องถิ่นเทศบาลตำบลเนินขาม,Noen Kham Sub-district Municipality,0
1891,ท้องถิ่นเทศบาลตำบลหันคา,Hankha Sub-district Municipality,0
1892,ท้องถิ่นเทศบาลตำบลสามง่ามท่าโบสถ์,Samngam Tha Bot Sub-district Municipality,0
1893,ท้องถิ่นเทศบาลตำบลแพรกศรีราชา,Phraek Si Racha Sub-district Municipality,0
1894,ท้องถิ่นเทศบาลตำบลสรรพยา,Sapphaya Sub-district Municipality,0
1895,ท้องถิ่นเทศบาลตำบลโพธิ์พิทักษ์,Pho Phithak Sub-district Municipality,0
1896,ท้องถิ่นเทศบาลตำบลหางน้ำสาคร,Hang Nam Sakhon Sub-district Municipality,0
1897,ท้องถิ่นเทศบาลตำบลคุ้งสำเภา,Khung Samphao Sub-district Municipality,0
